Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,2014,2015,2016,2017,2018,2019
Habitat Differences in Morphology and Reproductive Allocation in Guettarda scabra (Rubiaceae),"Koptur, Suzanne; Garcia, Diane",,,,CASTANEA,SEP 2017,2017,82,2,,,,51,57,,10.2179/16-115,,,0,0,0,0,0,0,0,0
Cacao (Theobroma cacao L.) seedlings growth in different pot sizes,"Osorio G, Monica Andrea; Leiva R, Edna Ivonne; Ramirez P, Ramiro",,,,REVISTA DE CIENCIAS AGRICOLAS,JUL-DEC 2017,2017,34,2,,,,73,82,,10.22267/rcia.163302.73,,,0,0,0,0,0,0,0,0
Variation in seed packaging of a fleshy-fruited conifer provides insights into the ecology and evolution of multi-seeded fruits,"DeSoto, L.; Torices, R.; Rodriguez-Echeverria, S.; Nabais, C.",,,,PLANT BIOLOGY,JUL 2017,2017,19,4,,,,533,541,,10.1111/plb.12566,,,0,0,0,0,0,0,0,0
Sex allocation in gynodioecious Cyananthus delavayi differs between gender morphs and soil quality,"Chen, Jianguo; Niu, Yang; Li, Zhimin; Yang, Yang; Sun, Hang",,,,PLANT REPRODUCTION,JUN 2017,2017,30,2,,,,107,117,,10.1007/s00497-017-0303-4,,,0,0,0,0,0,0,0,0
Female fruit production depends on female flower production and crown size rather than male density in a continuous population of a tropical dioecious tree (Virola surinamensis),"Riba-Hernandez, Pablo; Lobo Segura, Jorge; Munoz-Valverde, Jenny",,,,AMERICAN JOURNAL OF BOTANY,NOV 2016,2016,103,11,,,,1990,1999,,10.3732/ajb.1600230,,,0,0,0,0,0,0,0,0
Sink strength manipulation in branches of a Mediterranean woody plant suggests sink-driven allocation of biomass in fruits but not of nutrients in seeds,"Catalan, Pablo; Delgado, Juan A.; Jimenez, Maria D.; Balaguer, Luis",,,,ACTA PHYSIOLOGIAE PLANTARUM,AUG 2016,2016,38,8,,,,,,193,10.1007/s11738-016-2220-9,,,0,0,0,0,0,0,0,0
Characterization of seeds from a tropical evergreen forest of western Cuba. Ecological correlations among traits,"Montejo Valdes, Laura A.; Sanchez, Jorge A.; Munoz, Barbara C.; Gamboa, Alejandro",,,,BOSQUE,2015,2015,36,2,,,,211,222,,10.4067/S0717-92002015000200007,,,0,0,0,0,0,0,0,0
"Effects of maternal nutrient and water availability on seed production, size and germination of heterocarpic Atriplex aucheri","Wang, L.; Wang, H. L.; Zhang, K.; Tian, C. Y.",,,,SEED SCIENCE AND TECHNOLOGY,2015,2015,43,1,,,,71,79,,10.15258/sst.2015.43.1.08,,,0,0,0,0,0,0,0,0
"Betalain Profile, Phenolic Content, and Color Characterization of Different Parts and Varieties of Opuntia ficus-indica","Jesus Cejudo-Bastante, Maria; Chaalal, Makhlouf; Louaileche, Hayette; Parrado, Juan; Heredia, Francisco J.",,,,JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,AUG 20 2014,2014,62,33,,,,8491,8499,,10.1021/jf502465g,,,24,4.8,0,1,7,6,10,0
"Dietary fiber, phytochemical composition and antioxidant activity of Mexican commercial varieties of cactus pear","Maria Jimenez-Aguilar, Dulce; Melissa Lopez-Martinez, Julieta; Hernandez-Brenes, Carmen; Alejandra Gutierrez-Uribe, Janet; Welti-Chanes, Jorge",,,,JOURNAL OF FOOD COMPOSITION AND ANALYSIS,AUG 2015,2015,41,,,,,66,73,,10.1016/j.jfca.2015.01.017,,,15,3.75,0,1,1,7,6,0
Phenolic content and antioxidant activity of cactus (Opuntia ficus-indica L.) flowers are modified according to the extraction method,"Ammar, Imene; Ennouri, Monia; Attia, Hamadi",,,,INDUSTRIAL CROPS AND PRODUCTS,FEB 2015,2015,64,,,,,97,104,,10.1016/j.indcrop.2014.11.030,,,14,3.5,0,2,3,7,2,0
Pollination and seed dispersal of Melocactus ernestii Vaupel subsp ernestii (Cactaceae) by lizards: an example of double mutualism,"Gomes, V. G. N.; Quirino, Z. G. M.; Machado, I. C.",,,,PLANT BIOLOGY,MAR 2014,2014,16,2,,,,315,322,,10.1111/plb.12063,,,10,2,0,0,5,3,2,0
Exploring xoconostle by-products as sources of bioactive compounds,"Morales, Patricia; Barros, Lillian; Ramirez-Moreno, Esther; Santos-Buelga, Celestino; Ferreira, Isabel C. F. R.",,,,FOOD RESEARCH INTERNATIONAL,NOV 2014,2014,65,,C,,SI,437,444,,10.1016/j.foodres.2014.05.067,,,9,1.8,0,1,1,6,1,0
Frugivory and seed dispersal by birds in Cereus jamacaru DC. ssp jamacaru (Cactaceae) in the Caatinga of Northeastern Brazil,"Gomes, V. G. N.; Quirino, Z. G. M.; Araujo, H. F. P.",,,,BRAZILIAN JOURNAL OF BIOLOGY,FEB 2014,2014,74,1,,,,32,40,,10.1590/1519-6984.15312,,,8,1.6,0,0,2,4,1,1
"Inter- and intra-specific variation in fruit biomass, number of seeds, and physical characteristics of seeds in Opuntia spp., Cactaceae","Lopez-Palacios, Cristian; Pena-Valdivia, Cecilia B.; Antonio Reyes-Agueero, J.; Rogelio Aguirre-Rivera, J.; Ramirez-Tobias, Hugo M.; Marcos Soto-Hernandez, Ramon; Francisco Jimenez-Bremont, Juan",,,,GENETIC RESOURCES AND CROP EVOLUTION,DEC 2015,2015,62,8,,,,1205,1223,,10.1007/s10722-015-0223-9,,,7,1.75,0,0,1,2,4,0
Cacti supply limited nutrients to a desert rodent community,"Orr, Teri J.; Newsome, Seth D.; Wolf, Blair O.",,,,OECOLOGIA,AUG 2015,2015,178,4,,,,1045,1062,,10.1007/s00442-015-3304-8,,,7,1.75,0,0,3,2,2,0
Anticancer Properties of Extracts from Opuntia humifusa Against Human Cervical Carcinoma Cells,"Hahm, Sahng-Wook; Park, Jieun; Oh, Se-Yeong; Lee, Chul-Won; Park, Kun-Young; Kim, Hyunggee; Son, Yong-Suk",,,,JOURNAL OF MEDICINAL FOOD,JAN 1 2015,2015,18,1,,,,31,44,,10.1089/jmf.2013.3096,,,7,1.75,0,1,1,4,1,0
Generalized pollination system: Are floral traits adapted to different pollinators?,"Lemaitre, Andrea B.; Pinto, Carlos F.; Niemeyer, Hermann M.",,,,ARTHROPOD-PLANT INTERACTIONS,AUG 2014,2014,8,4,,,,261,272,,10.1007/s11829-014-9308-1,,,7,1.4,0,0,1,3,3,0
Asynchronous ripening behavior of cactus pear (Opuntia ficus-indica) cultivars with respect to physicochemical and physiological attributes,"Kyriacou, M. C.; Emmanouilidou, M. G.; Soteriou, G. A.",,,,FOOD CHEMISTRY,NOV 15 2016,2016,211,,,,,598,607,,10.1016/j.foodchem.2016.05.113,,,6,2,0,0,0,4,1,1
Cactus (Opuntia humifusa) water extract ameliorates loperamide-induced constipation in rats,"Han, Sung Hee; Park, Kyungmi; Kim, Eun Young; Ahn, So Hyun; Lee, Hyun-Sun; Suh, Hyung Joo",,,,BMC COMPLEMENTARY AND ALTERNATIVE MEDICINE,JAN 17 2017,2017,17,,,,,,,49,10.1186/s12906-016-1552-8,,,5,2.5,0,0,0,2,3,0
Genetic diversity and structure of populations in Pilosocereus gounellei (FACWeber ex K.Schum.) (Cactaceae) in the Caatinga biome as revealed by heterologous microsatellite primers,"Monteiro, Eliane Rodrigues; Mangolin, Claudete Aparecida; das Neves, Andrea Florindo; Orasmo, Gleice Ribeiro; Medeiros da Silva, Jose Geraldo; Pires da Silva Machado, Maria de Fatima",,,,BIOCHEMICAL SYSTEMATICS AND ECOLOGY,FEB 2015,2015,58,,,,,7,12,,10.1016/j.bse.2014.10.006,,,5,1.25,0,2,1,0,2,0
Fractionation and electrophoretic patterns of seed protein of Opuntia genus. A preliminary survey as a tool for accession differentiation and taxonomy,"Samah, Samir; Ventura-Zapata, Elsa; Valadez-Moctezuma, Ernestina",,,,BIOCHEMICAL SYSTEMATICS AND ECOLOGY,FEB 2015,2015,58,,,,,187,194,,10.1016/j.bse.2014.12.005,,,5,1.25,0,0,3,1,1,0
"STORAGE AND SEEDS GERMINATION STENOCEREUS THURBERI, A CACTUS WITH OPTIONAL VIVIPARITY","Bersain Perez-Gonzalez, Santos; Reyes-Olivas, Alvaro; Garcia-Moya, Edmundo; Romero-Manzanares, Angelica; Rodolfo Garcia-Nava, Jose; Lugo-Garcia, Gabriel A.; Sanchez-Soto, Bardo",,,,BOTANICAL SCIENCES,JUN 2015,2015,93,2,,,,273,282,,10.17129/botsci.227,,,4,1,0,0,1,2,1,0
Quality attributes of cactus pear fruit and their role in consumer choice The case of Italian consumers,"Migliore, Giuseppina; Galati, Antonino; Romeo, Pietro; Crescimanno, Maria; Schifani, Giorgio",,,,BRITISH FOOD JOURNAL,2015,2015,117,6,,,,1637,1651,,10.1108/BFJ-04-2014-0147,,,4,1,0,0,0,1,3,0
Development of plasticized edible films from Opuntia ficus-indica mucilage: A comparative study of various polyol plasticizers,"Gheribi, Rim; Puchot, Laura; Verge, Pierre; Jaoued-Grayaa, Najeh; Mezni, Mohamed; Habibi, Youssef; Khwaldia, Khaoula",,,,CARBOHYDRATE POLYMERS,JUN 15 2018,2018,190,,,,,204,211,,10.1016/j.carbpol.2018.02.085,,,3,3,0,0,0,0,2,1
Sicilian Opuntia ficus-indica seed oil: Fatty acid composition and bio-economical aspects,"Ciriminna, Rosaria; Bongiorno, David; Scurria, Antonino; Danzi, Carmelo; Timpanaro, Giuseppe; Delisi, Riccardo; Avellone, Giuseppe; Pagliaro, Mario",,,,EUROPEAN JOURNAL OF LIPID SCIENCE AND TECHNOLOGY,NOV 2017,2017,119,11,,,,,,UNSP 1700232,10.1002/ejlt.201700232,,,3,1.5,0,0,0,0,3,0
QUALITY ASSESSMENT OF SEED OIL FROM SELECTED CACTUS PEAR CULTIVARS (OPUNTIA FICUS-INDICA AND OPUNTIA ROBUSTA),"De Wit, Maryna; Hugo, Arno; Shongwe, Nokuthula",,,,JOURNAL OF FOOD PROCESSING AND PRESERVATION,JUN 2017,2017,41,3,,,,,,e12898,10.1111/jfpp.12898,,,3,1.5,0,0,0,2,1,0
Pollination biology of Echinopsis leucantha (Cactaceae): passerine birds and exotic bees as effective pollinators,"Gorostiague, Pablo; Ortega-Baes, Pablo",,,,BOTANY,JAN 2017,2017,95,1,,,,53,59,,10.1139/cjb-2016-0120,,,3,1.5,0,0,0,0,3,0
Lignans from Opuntia ficus-indica seeds protect rat primary hepatocytes and HepG2 cells against ethanol-induced oxidative stress,"Kim, Jung Wha; Yang, Heejung; Kim, Hyeon Woo; Kim, Hong Pyo; Sung, Sang Hyun",,,,BIOSCIENCE BIOTECHNOLOGY AND BIOCHEMISTRY,JAN 2017,2017,81,1,,,,181,183,,10.1080/09168451.2016.1234930,,,3,1.5,0,0,0,0,3,0
Population Genetic Structure of a Widespread Bat-Pollinated Columnar Cactus,"Bustamante, Enriquena; Burquez, Alberto; Scheinvar, Enrique; Enrique Eguiarte, Luis",,,,PLOS ONE,MAR 25 2016,2016,11,3,,,,,,e0152329,10.1371/journal.pone.0152329,,,3,1,0,0,0,2,1,0
"The role of mucilage in the germination of Leptocereus scopulophilus (Cactaceae) seeds from Pan de Matanzas, Cuba","Barrios, Duniel; Flores, Joel; Gonzalez-Torres, Luis R.; Palmarola, Alejandro",,,,BOTANY,APR 2015,2015,93,4,,,,251,255,,10.1139/cjb-2014-0242,,,3,0.75,0,0,1,2,0,0
Physicochemical variability and nutritional and functional characteristics of xoconostles (Opuntia spp.) accessions from Mexico,"Hernandez-Fuentes, Alma D.; Trapala-Islas, Angelica; Gallegos-Vasquez, Clemente; Campos-Montiel, Rafael G.; Pinedo-Espinoza, Jose M.; Guzman-Maldonado, Salvador H.",,,,Fruits,MAR-APR 2015,2015,70,2,,,,109,116,,10.1051/fruits/2015002,,,3,0.75,0,0,0,3,0,0
"Genetic diversity and structure of wild and managed populations of Polaskia chende (Cactaceae) in the Tehuacan-Cuicatlan Valley, Central Mexico: insights from SSR and allozyme markers","Contreras-Negrete, Gonzalo; Eva Ruiz-Duran, M.; Cabrera-Toledo, Danae; Casas, Alejandro; Vargas, Ofelia; Parra, Fabiola",,,,GENETIC RESOURCES AND CROP EVOLUTION,JAN 2015,2015,62,1,,,,85,101,,10.1007/s10722-014-0137-y,,,3,0.75,0,0,2,1,0,0
Identification and expression analysis of ethylene biosynthesis and signaling genes provides insights into the early and late coffee cultivars ripening pathway,"Sagio, Solange A.; Barreto, Horllys G.; Lima, Andre A.; Moreira, Rafael O.; Rezende, Pamela M.; Paiva, Luciano V.; Chalfun-Junior, Antonio",,,,PLANTA,MAY 2014,2014,239,5,,,,951,963,,10.1007/s00425-014-2026-1,,,3,0.6,0,0,0,2,1,0
EMBRYOLOGY AND SEED DEVELOPMENT IN PERESKIA LYCHNIDIFLORA (CACTACEAE),"Jimenez-Duran, Karina; Arias-Montes, Salvador; Cortes-Palomec, Aurea; Marquez-Guzman, Judith",,,,HASELTONIA,MAR 2014,2014,,19,,,,3,12,,10.2985/026.019.0102,,,3,0.6,0,0,0,0,3,0
Opuntia ficus-indica seed oil: Biorefinery and bioeconomy aspects,"Ciriminna, Rosaria; Delisi, Riccardo; Albanese, Lorenzo; Meneguzzo, Francesco; Pagliaro, Mario",,,,EUROPEAN JOURNAL OF LIPID SCIENCE AND TECHNOLOGY,AUG 2017,2017,119,8,,,,,,1700013,10.1002/ejlt.201700013,,,2,1,0,0,0,1,1,0
"Seed removal by lizards and effect of gut passage on germination in a columnar cactus of the Caatinga, a tropical dry forest in Brazil","Gomes, V. G. N.; Meiado, M. V.; Quirino, Z. G. M.; Machado, I. C.",,,,JOURNAL OF ARID ENVIRONMENTS,DEC 2016,2016,135,,,,,85,89,,10.1016/j.jaridenv.2016.08.013,,,2,0.67,0,0,0,1,1,0
Baseline study of morphometric traits of wild Capsicum annuum growing near two biosphere reserves in the Peninsula of Baja California for future conservation management,"Murillo-Amador, Bernardo; Omar Rueda-Puente, Edgar; Troyo-Dieguez, Enrique; Victor Cordoba-Matson, Miguel; Guillermo Hernandez-Montiel, Luis; Nieto-Garibay, Alejandra",,,,BMC PLANT BIOLOGY,MAY 10 2015,2015,15,,,,,,,118,10.1186/s12870-015-0505-6,,,2,0.5,0,0,0,1,1,0
"A new species of the genus Opuntia (Cactaceae) for the state of Veracruz, Mexico","Scheinvar, Leia; Olalde-Parra, Gabrel; Gallegos-Vazquez, Clemente",,,,BOTANICAL SCIENCES,MAR 2015,2015,93,1,,,,33,39,,10.17129/botsci.133,,,2,0.5,0,0,0,2,0,0
Embryology of Mammillaria dioica (Cactaceae) reveals a new male sterility phenotype,"Sanchez, Daniel; Vazquez-Santana, Sonia",,,,FLORA,APR 2018,2018,241,,,,,16,26,,10.1016/j.flora.2018.02.007,,,1,1,0,0,0,0,1,0
South African Cactus Pear Seed Oil: A Comprehensive Study on 42 Spineless Burbank Opuntia ficus-indica and Opuntia robusta Cultivars,"de Wit, Maryna; Hugo, Arno; Shongwe, Nokuthula",,,,EUROPEAN JOURNAL OF LIPID SCIENCE AND TECHNOLOGY,MAR 2018,2018,120,3,,,,,,1700343,10.1002/ejlt.201700343,,,1,1,0,0,0,0,1,0
Reverse Effect of Opuntia ficus-indica L. Juice and Seeds Aqueous Extract on Gastric Emptying and Small-Bowel Motility in Rat,"Rtibi, Kais; Selmi, Slimen; Saidani, Khouloud; Grami, Dhekra; Amri, Mohamed; Sebai, Hichem; Marzouki, Lamjed",,,,JOURNAL OF FOOD SCIENCE,JAN 2018,2018,83,1,,,,205,211,,10.1111/1750-3841.13990,,,1,1,0,0,0,0,1,0
"Advantages of vivipary in Echinocactus platyacanthus, an endemic and protected Mexican cactus species","Luis Aragon-Gastelum, Jose; Flores, Joel; Yanez-Espinosa, Laura; Reyes-Olivas, Alvaro; Pablo Rodas-Ortiz, Juan; Robles-Diaz, Erika; Javier Gonzalez, Francisco",,,,JOURNAL OF ARID ENVIRONMENTS,JUN 2017,2017,141,,,,,56,59,,10.1016/j.jaridenv.2017.01.012,,,1,0.5,0,0,0,0,1,0
Seed removal in a tropical North American desert: an evaluation of pre- and post-dispersal seed removal in Stenocereus stellatus,"Alvarez-Espino, R.; Rios-Casanova, L.; Godinez-Alvarez, H.",,,,PLANT BIOLOGY,MAY 2017,2017,19,3,,,,469,474,,10.1111/plb.12541,,,1,0.5,0,0,0,0,1,0
Optimization of Ultrasound Extraction of Cactus Pear (Opuntia ficus indica) Seed Oil Based on Antioxidant Activity and Evaluation of Its Antimicrobial Activity,"de los Angeles Ortega-Ortega, Maria; del Socorro Cruz-Cansino, Nelly; Alanis-Garcia, Ernesto; Delgado-Olivares, Luis; Alberto Ariza-Ortega, Jose; Ramirez-Moreno, Esther; de Jesus Manriquez-Torres, Jose",,,,JOURNAL OF FOOD QUALITY,2017,2017,,,,,,,,UNSP 9315360,10.1155/2017/9315360,,,1,0.5,0,0,0,0,1,0
Antioxidant and Antimicrobial Properties of Cactus Pear (Opuntia) Seed Oils,"Ramirez-Moreno, Esther; Carino-Cortes, Raquel; del Socorro Cruz-Cansino, Nelly; Delgado-Olivares, Luis; Alberto Ariza-Ortega, Jose; Yelina Montanez-Izquierdo, Vanessa; Manuela Hernandez-Herrero, Maria; Filardo-Kerstupp, Tomas",,,,JOURNAL OF FOOD QUALITY,2017,2017,,,,,,,,UNSP 3075907,10.1155/2017/3075907,,,1,0.5,0,0,0,1,0,0
Physical characterization of Rhipsalis (Cactaceae) fruits and seeds germination in different temperatures and light regimes,"Lone, A. B.; Colombo, R. C.; Andrade, B. L. G.; Takahashi, L. S. A.; Faria, R. T.",,,,BRAZILIAN JOURNAL OF BIOLOGY,APR-JUN 2016,2016,76,2,,,,367,373,,10.1590/1519-6984.15914,,,1,0.33,0,0,1,0,0,0
Changes in physical and chemical properties of Opuntia dillenii fruits during the growing stages,"Gaballah, Amal A.; Embaby, Hassan El-Sayed; Hamed, Yahya S.; El-Samahy, Salah K.",,,,JOURNAL OF THE PROFESSIONAL ASSOCIATION FOR CACTUS DEVELOPMENT,2016,2016,18,,,,,1,14,,,,,1,0.33,0,0,0,0,1,0
Establishment of callus and cell suspensions of wild and domesticated Opuntia species: study on their potential as a source of metabolite production,"Robles-Martinez, Marissa; Paulina Barba-de la Rosa, Ana; Gueraud, Francoise; Negre-Salvayre, Anne; Rossignol, Michel; del Socorro Santos-Diaz, Maria",,,,PLANT CELL TISSUE AND ORGAN CULTURE,JAN 2016,2016,124,1,,,,181,189,,10.1007/s11240-015-0886-0,,,1,0.33,0,0,0,1,0,0
Minerals of cactus (Opuntia dillenii): cladode and,"Kalegowda, Pavithra; Haware, Devendra Jagannath; Rajarathnam, Somasundaram; Shashirekha, Mysore Nanjarajurs",,,,CURRENT SCIENCE,DEC 25 2015,2015,109,12,,,,2295,2298,,10.18520/cs/v109/i12/2295-2298,,,1,0.25,0,0,0,1,0,0
"Dietary fiber, mineral elements profile and macronutrients composition in different edible parts of Opuntia microdasys (Lehm.) Pfeiff and Opuntia macrorhiza (Engelm.)","Chandoura, Hassiba; Morales, Patricia; Barreira, Joao C. M.; Barros, Lillian; Fernandez-Ruiz, Virginia; Ferreira, Isabel C. F. R.; Achour, Lotfi",,,,LWT-FOOD SCIENCE AND TECHNOLOGY,NOV 2015,2015,64,1,,,,446,451,,10.1016/j.lwt.2015.05.011,,,1,0.25,0,0,0,0,1,0
"Opuntia leiascheinvariana, new species of Cactaceae from the state of Hidalgo, Mexico","Ramiro Martinez-Gonzalez, Cesar; Gallegos-Vazquez, Clemente; Luna-Vega, Isolda; Garcia-Sandoval, Ricardo",,,,BOTANICAL SCIENCES,SEP 2015,2015,93,3,,,,517,529,,10.17129/botsci.247,,,1,0.25,0,0,0,1,0,0
EFFECTS OF SEED INGESTION BY THE LESSER LONG-NOSED BAT LEPTONYCTERIS YERBABUENAE ON THE GERMINATION OF THE GIANT CACTUS ISOLATOCEREUS DUMORTIERI,"Rojas-Martinez, Alberto E.; Pavon, Numa P.; Castillo, Juan P.",,,,SOUTHWESTERN NATURALIST,MAR 2015,2015,60,1,,,,85,89,,10.1894/TAL-69.1,,,1,0.25,0,0,0,1,0,0
MANAGEMENT AND DOMESTICATION SYNDROMES OF CAPULIN (Prunus serotina Ehrh ssp capuli (Cav.) Mc Vaugh) IN COMMUNITIES OF THE STATE OF TLAXCALA,"Avendano-Gomez, Aide; Lira-Saade, Rafael; Madrigal-Calle, Beatriz; Garcia-Moya, Edmundo; Soto-Hernandez, Marcos; Romo de Vivar-Romo, Alfonso",,,,AGROCIENCIA,FEB-MAR 2015,2015,49,2,,,,189,204,,,,,1,0.25,0,0,0,0,1,0
Physico-chemical and sensory evaluation of cactus pear (Opuntia ficus-indica L. Mill and Opuntia robusta Wendl) cladode flour in different baked products,"De Wit, M.; Bothma, C.; Hugo, A.; Sithole, T.; Absalom, C.; Van den Berg, C.",,,,JOURNAL OF THE PROFESSIONAL ASSOCIATION FOR CACTUS DEVELOPMENT,2015,2015,17,,,,,89,106,,,,,1,0.25,0,0,0,0,1,0
Effect of substrate and gibberellic acid (GA(3)) on seed germination in ten cultivars of Opuntia sps.,"Judith Ochoa, Maria; Maritza Gonzalez-Flores, Luz; Manuel Cruz-Rubio, Jose; Portillo, Liberato; Florencio Gomez-Leyva, Juan",,,,JOURNAL OF THE PROFESSIONAL ASSOCIATION FOR CACTUS DEVELOPMENT,2015,2015,17,,,,,50,60,,,,,1,0.25,0,0,0,1,0,0
"Use of columnar cacti in the Tehuacan Valley, Mexico: perspectives for sustainable management of non-timber forest products","Perez-Negron, Edgar; Davila, Patricia; Casas, Alejandro",,,,JOURNAL OF ETHNOBIOLOGY AND ETHNOMEDICINE,DEC 23 2014,2014,10,,,,,,,79,10.1186/1746-4269-10-79,,,1,0.2,0,0,0,1,0,0
Cereus Peruvianus (KOUBO) NEW CACTUS FRUIT FOR THE WORLD,"Mizrahi, Yosef",,,,REVISTA BRASILEIRA DE FRUTICULTURA,MAR 2014,2014,36,1,,,,68,78,,10.1590/0100-2945-447/13,,,1,0.2,0,0,0,1,0,0
Identification and role of Opuntia ficus indica constituents in the flocculation mechanism of colloidal solutions,"Bouaouine, Omar; Bourven, Isabelle; Khalil, Fouad; Bressollier, Philippe; Baudu, Michel",,,,SEPARATION AND PURIFICATION TECHNOLOGY,JAN 31 2019,2019,209,,,,,892,899,,10.1016/j.seppur.2018.09.036,,,0,0,0,0,0,0,0,0
Will climate change cause spatial mismatch between plants and their pollinators? A test using Andean cactus species,"Gorostiague, Pablo; Sajama, Jesus; Ortega-Baes, Pablo",,,,BIOLOGICAL CONSERVATION,OCT 2018,2018,226,,,,,247,255,,10.1016/j.biocon.2018.07.003,,,0,0,0,0,0,0,0,0
Frugivory and seed dispersal in the endemic cactus Eulychnia acida: extending the anachronism hypothesis to the Chilean Mediterranean ecosystem,"Cares, Rocio A.; Saez-Cordovez, Consuelo; Valiente-Banuet, Alfonso; Medel, Rodrigo; Botto-Mahan, Carezza",,,,REVISTA CHILENA DE HISTORIA NATURAL,SEP 25 2018,2018,91,,,,,,,9,10.1186/s40693-018-0079-4,,,0,0,0,0,0,0,0,0
A new species of Deamia (Cactaceae) from the Mesoamerican region,"Ceren, Gabriel; Angel Cruz, Miguel; Menjivar, Jenny; Arias, Salvador",,,,PHYTOTAXA,SEP 21 2018,2018,369,4,,,,251,259,,10.11646/phytotaxa.369.4.2,,,0,0,0,0,0,0,0,0
Pericarp development in fruit of epiphytic cacti: implications for fruit classification and macro-morphology in the Cactaceae,"Garcia de Almeida, Odair Jose; de Souza, Luiz Antonio; Sartori Paoli, Adelita Aparecida; Davis, Arthur R.; Cota-Sanchez, J. Hugo",,,,BOTANY,SEP 2018,2018,96,9,,,,621,635,,10.1139/cjb-2018-0074,,,0,0,0,0,0,0,0,0
Influence of Rootstocks on Vegetative and Generative Characteristics of the Apple Cultivar 'Topaz' According to Organic Production Conditions in Eastern Austria,"Spornberger, Andreas; Schueller, Elisabeth; Videki, Edina; Vegvari, Gyorgy",,,,ERWERBS-OBSTBAU,SEP 2018,2018,60,3,,,,231,238,,10.1007/s10341-017-0363-5,,,0,0,0,0,0,0,0,0
The edible fruit species in Mexico,"Segura, S.; Fresnedo, J.; Mathuriau, C.; Lopez, J.; Andres, J.; Muratalla, A.",,,,GENETIC RESOURCES AND CROP EVOLUTION,AUG 2018,2018,65,6,,,,1767,1793,,10.1007/s10722-018-0652-3,,,0,0,0,0,0,0,0,0
"A distinctive new species of Thelocactus (Cactaceae) from Oaxaca, Mexico","Davis, Tristan J.; Hernandez, Hector M.; Starr, Greg D.; Gomez-Hinostrosa, Carlos",,,,PHYTOTAXA,JUL 18 2018,2018,361,1,,,,115,122,,10.11646/phytotaxa.361.1.10,,,0,0,0,0,0,0,0,0
Microsites of seed arrival: spatio-temporal variations in complex seed-disperser networks,"Garcia-Cervigon, Ana I.; Zywiec, Magdalena; Delibes, Miguel; Suarez-Esteban, Alberto; Perea, Ramon; Fedriani, Jose M.",,,,OIKOS,JUL 2018,2018,127,7,,,,1001,1013,,10.1111/oik.04881,,,0,0,0,0,0,0,0,0
Opposing forces of seed dispersal and seed predation by mammals for an invasive cactus in central Kenya,"Dudenhoeffer, Megan; Hodge, Anne-Marie C.",,,,AFRICAN JOURNAL OF ECOLOGY,JUN 2018,2018,56,2,,,,179,184,,10.1111/aje.12504,,,0,0,0,0,0,0,0,0
"Reproductive potential of Stenocereus queretaroensis (Cactaceae) of San Jose de Cosalima, Zacatecas","Solis-Marquez, Oliva; Ofelia Plascencia-Escalante, F.; Romero-Manzanares, Angelica; Antonio Cruz-Rodriguez, Juan; Angeles-Perez, Gregorio; Carlos Lopez-Acosta, Juan; Yanez-Jimenez, Petra",,,,REVISTA MEXICANA DE BIODIVERSIDAD,JUN 2018,2018,89,2,,,,553,562,,10.22201/ib.20078706e.2018.2.1874,,,0,0,0,0,0,0,0,0
"Functional Dioecy in Echinocereus: Ontogenetic Patterns, Programmed Cell Death, and Evolutionary Significance","Hernandez-Cruz, Rocio; Barron-Pacheco, Fatima; Sanchez, Daniel; Arias, Salvador; Vazquez-Santana, Sonia",,,,INTERNATIONAL JOURNAL OF PLANT SCIENCES,MAY 2018,2018,179,4,,,,257,274,,10.1086/697072,,,0,0,0,0,0,0,0,0
Attractiveness of Different Food Resources to Dung Beetles (Coleoptera: Scarabaeidae) of a Dry Tropical Area,"Salomo, R. P.; Maia, A. C. D.; Bezerra, B. M.; Iannuzzi, L.",,,,NEOTROPICAL ENTOMOLOGY,FEB 2018,2018,47,1,,,,69,78,,10.1007/s13744-017-0515-1,,,0,0,0,0,0,0,0,0
Homozygote Depression in Gamete-Derived Dragon-Fruit (Hylocereus) Lines,"Li, Daqing; Martinez, Maria F. Arroyave; Shaked, Ruth; Tel-Zur, Noemi",,,,FRONTIERS IN PLANT SCIENCE,JAN 5 2018,2018,8,,,,,,,2142,10.3389/fpls.2017.02142,,,0,0,0,0,0,0,0,0
"Characterization of endozoochorous dispersal of pitayo Stenocereus queretaroensis, in Autlan, Jalisco, Mexico","Garcia-Ruiz, Miriam; Ruan-Tejeda, Irma; Zuloaga-Aguilar, Martha S.; Iniguez-Davalos, Luis I.",,,,ETHOLOGY ECOLOGY & EVOLUTION,2018,2018,30,5,,,,447,460,,10.1080/03949370.2017.1423114,,,0,0,0,0,0,0,0,0
Antioxidative and Antiradical Activities of Bioactive Compounds of Extracts From Algerian Prickly Pear (Opuntia ficus-indica. L) Fruits,"Benattia, Farah Kenza; Arrar, Zoheir",,,,CURRENT NUTRITION & FOOD SCIENCE,2018,2018,14,3,,,,211,217,,10.2174/1573401313666170609101639,,,0,0,0,0,0,0,0,0
